ComName,Species
Bay pipefish,Syngnathus leptorhynchus
Buffalo Sculpin,Enophrys bison
C-O Sole,Pleuronichthys coenosus
Chinook salmon,Oncorhynchus tshawytscha
Chum salmon,Oncorhynchus keta
Coho salmon,Oncorhynchus kisutch
Crescent Gunnel,Pholis laeta
Cutthroat trout,Oncorhynchus clarkii
English sole,Parophrys vetulus
Great Sculpin,Myoxocephalus polyacanthocephalus
Kelp Greenling,Hexagrammos decagrammus
Lingcod,Ophiodon elongatus
Northern Anchovy,Engraulis mordax
Pacific Cod,Gadus macrocephalus
Pacific Sandfish,Trichodon trichodon
Pacific herring,Clupea pallasii
Pacific sand lance,Ammodytes hexapterus
Pacific sand sole,Psettichthys melanostictus
Pacific snake prickleback,Lumpenus sagitta
Pacific staghorn sculpin,Leptocottus armatus
Pacific tomcod,Microgadus proximus
Padded Sculpin,Artedius fenestralis
Penpoint Gunnel,Apodichthys flavidus
Pile Perch,Phanerodon vacca
Pink salmon,Oncorhynchus gorbuscha
Plainfin midshipman,Porichthys notatus
Rock Sole,Lepidopsetta bilineata
Saddleback Gunnel,Pholis ornata
Sand Dab,Limanda limanda
Shiner Perch,Cymatogaster aggregata
Silverspotted sculpin,Blepsias cirrhosus
Speckled sanddab,Citharichthys stigmaeus
Starry Flounder,Platichthys stellatus
Steelhead trout,Oncorhynchus mykiss
Striped Seaperch,Embiotoca lateralis
Surf Smelt,Hypomesus pretiosus
Tadpole Sculpin,Psychrolutes paradoxus
Three-spined stickleback,Gasterosteus aculeatus
Tidepool Sculpin,Oligocottus maculosus
Tidepool Snailfish,Liparis florae
Tube-snout,Aulorhynchus flavidus
Whitespotted greenling,Hexagrammos stelleri
