sample,Species_Richness,FRic,FEve,FDiv,FDis
CORA2018,8,0.18095624683655626,0.577158,0.8679127598572356,0.2186680959422399
CORA2019,10,0.23096824735674462,0.491143,0.9957156442574364,0.2824298871933025
CORA2021,12,0.42668703117884765,0.489134,0.9779963182656984,0.40008324183915067
CORA2022,13,0.2776313253009365,0.404007,0.9078944952767105,0.8042473403179383
CORN2018,13,0.4638344359053196,0.35415,0.9253195341078966,0.4606823733280042
CORN2019,19,0.6648314193106264,0.3316,0.8482515202630786,0.7636072385031006
CORN2021,9,0.18275576754807651,0.417278,0.7824110441556293,0.7607387471808503
CORN2022,20,0.5979508818905094,0.370273,0.9617004535351484,0.654246781869613
CORR2018,10,0.23985457274782965,0.51708,0.9485362174641621,0.6534095902485197
CORR2019,25,0.6020669151138481,0.506872,0.808312668801444,0.7766481747952364
CORR2021,12,0.1880334689603657,0.533868,0.9831620949285792,0.8032245799277113
CORR2022,19,0.6678618654899323,0.51135,0.9441696746682565,0.6933857931229028
DOKA2018,4,0.0068035556343175405,0.305643,0.5170980837340939,0.3181413357772718
DOKA2019,5,0.04329015176261185,0.555698,0.6602941165289115,0.5710490486198835
DOKA2021,4,0.0036295337359609813,0.131262,0.6041318286571135,0.2130025529253707
DOKA2022,8,0.06602273222442186,0.08147,0.9837596897640463,0.4608418208870996
DOKN2018,3,0,0,0,0
DOKN2019,3,0,0,0,0
DOKN2021,5,0.09639303401371792,0.671568,0.9974154874785346,0.03642763189102689
DOKN2022,5,0.007440189615518905,0.274322,0.6701938667853843,0.3151848879647891
DOKR2018,4,0.0039236139229478755,0.206458,0.9881556344419306,0.044599495436490104
DOKR2019,4,0.012779933161334495,0.151473,0.9985233128422467,0.373616191498899
DOKR2021,7,0.11304432413228055,0.364823,0.9958802924718646,0.7983138738023859
DOKR2022,6,0.016779058403645634,0.127007,0.9724468784472009,0.42631460545268096
EDGA2018,5,0.04958604656151101,0.307862,0.990484017637057,0.35666937306339314
EDGA2019,2,0,0,0,0
EDGA2021,1,0,0,0,0
EDGA2022,4,0.004842147253556181,0.098977,0.526198260590774,0.11816048288917412
EDGN2018,4,0.005302022384415196,0.756425,0.9181951893930549,0.6020283147083209
EDGN2019,5,0.024866874835305898,0.566889,0.9117509234036617,0.6537018322468849
EDGN2021,3,0,0,0,0
EDGN2022,7,0.07114568194179095,0.444759,0.9955259652920941,0.1464607996122101
EDGR2018,7,0.05490335730768398,0.378171,0.8986526249227281,0.6179758438686156
EDGR2019,6,0.16078548399734705,0.17265,0.8043553382930306,0.2719665580834588
EDGR2021,3,0,0,0,0
EDGR2022,6,0.12300413462080528,0.65509,0.8277747243100839,0.8251956046878649
FAMA2018,3,0,0,0,0
FAMA2019,9,0.1811375212442126,0.62408,0.9520113863941633,0.4207240460603436
FAMA2021,6,0.11197506307330723,0.644146,0.8453418456125944,0.4693063653976314
FAMA2022,4,0.085380019085460293,0.524579,0.9895618229357648,0.08444890406554274
FAMN2018,6,0.20630386671558135,0.304146,0.8505520535916234,0.623773908905471
FAMN2019,7,0.21952870792974039,0.417107,0.46998305985315,0.412012560511865
FAMN2021,5,0.023242555190071547,0.168479,0.9889313637116409,0.5380673806820607
FAMN2022,8,0.31163997498320356,0.435592,0.9362839988577788,0.6030306099341279
FAMR2018,6,0.09145454390267907,0.567895,0.9809363924589319,0.2472260273487075
FAMR2019,6,0.13493478244387475,0.537384,0.9088868457118812,0.4304988809728208
FAMR2021,4,0.024147689527196228,0.341666,0.8164374982937337,0.2641098474716102
FAMR2022,8,0.20326056873934886,0.608565,0.7243402460314762,0.5940331586303373
SHRA2018,6,0.017643561219895746,0.466964,0.7740647101549483,0.8020859059643735
SHRA2019,6,0.086161234974489,0.311451,0.9503038806217392,0.6843759718931698
SHRA2021,8,0.1543489918217719,0.427988,0.514770203846367,0.36288792645247536
SHRA2022,8,0.17241492929018043,0.53645,0.8456363618236662,0.5313176166174101
SHRN2018,4,0.011999723203351846,0.111026,0.7411087041501305,0.16017421668528223
SHRN2019,9,0.17255123939330058,0.504786,0.9118010255178801,0.8143600057679483
SHRN2021,5,0.03384893372621569,0.505323,0.7401492365119652,0.5338349791895538
SHRN2022,12,0.41341540506014074,0.616852,0.9067356485087937,0.8096765997922888
SHRR2018,3,0,0,0,0
SHRR2019,5,0.17712986979753673,0.43685,0.9751244694802167,0.4760715466967138
SHRR2021,6,0.2459861220683703,0.346206,0.7748791716688649,0.66749901280378
SHRR2022,4,0.0017701638503687164,0.407343,0.9981035005472694,0.11507557489534759
TURA2018,11,0.1021841899654381,0.319764,0.7068552492273997,0.5450570765613079
TURA2019,12,0.16725415940700306,0.367227,0.9310955962512403,0.26654196493302523
TURA2021,12,0.1909956867036663,0.38,0.8773624810524332,0.5995900193851076
TURA2022,10,0.17972643749174527,0.462039,0.9008197188825526,0.5206204419442163
TURN2018,1,0,0,0,0
TURN2019,4,0.06902762325391332,0.662954,0.8070945223905275,0.6318189271058232
TURN2021,6,0.027467889131710214,0.822389,0.8202503915139657,0.7443873570228002
TURN2022,7,0.025007256128082647,0.407806,0.9710620314550777,0.27594880851011894
TURN22018,5,0.0049426895817415994,0.509744,0.790203780310001,0.45147179468256304
TURN22019,7,0.08461221970296406,0.330303,0.9755067698542568,0.18298652279008523
TURN22021,6,0.04883265637174382,0.552714,0.7701152881691846,0.4582854198369216
TURN22022,5,0.06917272636328127,0.254883,0.9521354063177444,0.2506583698609686
